0.0135	0.4730
0.4013	0.6694
0.9178	1.1221
0.9685	1.2999
1.2346	1.4615
1.6996	1.9015
1.7711	2.0538
1.7974	2.2046
2.0899	2.5064
2.1729	2.6842
2.2446	2.8606
2.6882	3.1757
2.8492	3.3247
2.9020	3.5513
2.9842	3.8341
3.8482	4.0336
4.0793	4.3831
4.3451	4.7787
4.5007	5.0268
4.6311	5.1856
5.1064	5.5076
5.5726	5.9581
5.5810	6.1577
5.6076	6.3071
5.9547	6.6325
5.9830	6.7929
6.1697	7.0202
6.3742	7.1795
6.5074	7.3852
6.6423	7.9273
6.8394	8.1329
7.0224	8.3616
7.1559	8.7645
7.8109	9.1728
7.9717	9.3553
8.5144	9.6122
9.0141	9.8045
9.6829	10.0374
9.9466	10.1879
9.9776	10.3378
10.0384	10.5114
10.3991	10.8727
10.4609	11.1128
10.5642	11.2911
11.0148	11.5045
11.5143	11.7093
11.6138	11.8973
11.6832	12.0502
11.7489	12.8359
12.0885	13.0743
12.1191	14.6435
12.4066	14.9946
13.0696	15.1517
13.2982	15.3028
13.9003	15.5338
14.2500	15.7549
14.4300	15.9459
14.9245	16.1229
15.4931	16.3418
15.6592	16.8343
15.8612	17.0005
16.0657	17.2575
16.1874	17.4506
16.8370	17.6606
17.3309	18.2398
17.3567	18.5179
17.6606	18.7432
18.2813	18.8993
18.5488	19.0845
18.8972	19.3301
18.9279	19.5017
19.1763	19.8022
19.8609	20.0111
20.0476	20.3902
20.1431	20.5512
20.2622	20.7390
20.3426	20.8959
20.5944	21.1261
20.8501	21.9484
20.9886	22.1298
21.8107	22.4704
22.0980	22.6507
22.1417	22.8974
22.6399	23.0562
22.6943	23.3301
22.9706	23.4839
23.1162	23.7974
23.2310	23.9463
23.5837	24.9146
23.6250	25.0775
23.7741	25.2372
24.8120	25.5015
24.9672	25.7967
25.2240	26.0037
25.2758	26.2127
25.9051	26.4295
26.0410	26.6585
26.2402	26.8395
26.4732	27.0254
26.4887	27.3833
27.3945	27.8232
27.4788	28.0429
27.8674	28.2704
27.9395	28.4518
